Fecha,TipoGasto,Costo,Sucursal
2023-02-02,Microsoft 365,2200,Condesa
2023-02-03,Internet,1492,Polanco
2023-02-03,Internet,1224,Condesa
2023-02-03,Internet,1158,Roma
2023-02-05,Luz,9430,Roma
2023-02-05,Luz,6456,Polanco
2023-02-05,Luz,7923,Condesa
2023-02-10,Publicidad,3725,Polanco
2023-02-10,Publicidad,3871,Roma
2023-02-10,Publicidad,3804,Condesa
2023-02-12,Agua,3180,Polanco
2023-02-12,Agua,3159,Condesa
2023-02-12,Agua,3404,Roma
2023-02-15,Limpieza,3910,Roma
2023-02-15,Limpieza,3270,Condesa
2023-02-15,Limpieza,3736,Polanco
2023-02-18,Mantenimiento de equipo,10317,Polanco
2023-02-18,Mantenimiento de equipo,4796,Condesa
2023-02-18,Mantenimiento de equipo,5263,Roma
2023-02-20,Mantenimiento de sucursal,8000,Polanco
2023-02-20,Mantenimiento de sucursal,3499,Roma
2023-02-20,Mantenimiento de sucursal,7111,Condesa
2023-02-22,Software administrativo,5748,Polanco
2023-02-22,Software administrativo,5546,Roma
2023-02-22,Software administrativo,5762,Condesa
2023-02-25,Contabilidad,7846,Condesa
2023-02-25,Contabilidad,5295,Polanco
2023-02-25,Contabilidad,8129,Roma
2023-02-26,Papelería,1530,Polanco
2023-02-26,Papelería,965,Roma
2023-02-26,Papelería,1139,Condesa
2023-02-28,Pago de crédito de financiamiento,9197,Condesa
2023-02-28,Pago de crédito de financiamiento,8782,Roma
2023-02-28,Pago de crédito de financiamiento,13138,Polanco
2023-03-01,Nómina,38148,Roma
2023-03-01,Renta,41558,Roma
2023-03-01,Renta,64570,Polanco
2023-03-01,Nómina,38947,Polanco
2023-03-01,Renta,43938,Condesa
2023-03-01,Nómina,36695,Condesa
2023-03-02,Microsoft 365,2200,Polanco
2023-03-02,Microsoft 365,2200,Condesa
2023-03-02,Microsoft 365,2200,Roma
2023-03-03,Internet,964,Polanco
2023-03-03,Internet,1061,Condesa
2023-03-03,Internet,1421,Roma
2023-03-05,Luz,8416,Condesa
2023-03-05,Luz,9804,Roma
2023-03-05,Luz,6897,Polanco
2023-03-10,Publicidad,4287,Roma
2023-03-10,Publicidad,4309,Polanco
2023-03-10,Publicidad,4085,Condesa
2023-03-12,Agua,2892,Roma
2023-03-12,Agua,1840,Condesa
2023-03-12,Agua,2104,Polanco
2023-03-15,Limpieza,3977,Polanco
2023-03-15,Limpieza,4368,Condesa
2023-03-15,Limpieza,4450,Roma
2023-03-18,Mantenimiento de equipo,2887,Polanco
2023-03-18,Mantenimiento de equipo,4272,Roma
2023-03-18,Mantenimiento de equipo,2745,Condesa
2023-03-20,Mantenimiento de sucursal,5183,Condesa
2023-03-20,Mantenimiento de sucursal,3406,Roma
2023-03-20,Mantenimiento de sucursal,4523,Polanco
2023-03-22,Software administrativo,3733,Condesa
2023-03-22,Software administrativo,4191,Polanco
2023-03-22,Software administrativo,5304,Roma
2023-03-25,Contabilidad,8575,Roma
2023-03-25,Contabilidad,6954,Condesa
2023-03-25,Contabilidad,6496,Polanco
2023-03-26,Papelería,893,Polanco
2023-03-26,Papelería,1266,Condesa
2023-03-26,Papelería,1603,Roma
2023-03-28,Pago de crédito de financiamiento,11980,Roma
2023-03-28,Pago de crédito de financiamiento,7839,Polanco
2023-03-28,Pago de crédito de financiamiento,7484,Condesa
2023-04-01,Nómina,40613,Condesa
2023-04-01,Renta,61048,Condesa
2023-04-01,Nómina,42706,Polanco
2023-04-01,Renta,57188,Polanco
2023-04-01,Renta,48211,Roma
2023-04-01,Nómina,40650,Roma
2023-04-02,Microsoft 365,2200,Polanco
2023-04-02,Microsoft 365,2200,Roma
2023-04-02,Microsoft 365,2200,Condesa
2023-04-03,Internet,919,Polanco
2023-04-03,Internet,1306,Roma
2023-04-03,Internet,1302,Condesa
2023-04-05,Luz,6565,Polanco
2023-04-05,Luz,6244,Roma
2023-04-05,Luz,7906,Condesa
2023-04-10,Publicidad,4230,Roma
2023-04-10,Publicidad,3779,Polanco
2023-04-10,Publicidad,3805,Condesa
2023-04-12,Agua,1553,Polanco
2023-04-12,Agua,2720,Condesa
2023-04-12,Agua,1990,Roma
2023-04-15,Limpieza,5392,Condesa
2023-04-15,Limpieza,5298,Roma
2023-04-15,Limpieza,5141,Polanco
2023-04-18,Mantenimiento de equipo,8731,Polanco
2023-04-18,Mantenimiento de equipo,11697,Condesa
2023-04-18,Mantenimiento de equipo,5774,Roma
2023-04-20,Mantenimiento de sucursal,4679,Condesa
2023-04-20,Mantenimiento de sucursal,7747,Polanco
2023-04-20,Mantenimiento de sucursal,6643,Roma
2023-04-22,Software administrativo,4543,Polanco
2023-04-22,Software administrativo,4132,Condesa
2023-04-22,Software administrativo,4653,Roma
2023-04-25,Contabilidad,8363,Polanco
2023-04-25,Contabilidad,8452,Condesa
2023-04-25,Contabilidad,6211,Roma
2023-04-26,Papelería,996,Polanco
2023-04-26,Papelería,896,Roma
2023-04-26,Papelería,1951,Condesa
2023-04-28,Pago de crédito de financiamiento,8533,Roma
2023-04-28,Pago de crédito de financiamiento,9892,Condesa
2023-04-28,Pago de crédito de financiamiento,9140,Polanco
2023-05-01,Nómina,40665,Polanco
2023-05-01,Renta,45583,Polanco
2023-05-01,Nómina,42163,Condesa
2023-05-01,Renta,53482,Roma
2023-05-01,Nómina,41225,Roma
2023-05-01,Renta,56749,Condesa
2023-05-02,Microsoft 365,2200,Polanco
2023-05-02,Microsoft 365,2200,Condesa
2023-05-02,Microsoft 365,2200,Roma
2023-05-03,Internet,1151,Roma
2023-05-03,Internet,1007,Polanco
2023-05-03,Internet,1407,Condesa
2023-05-05,Luz,6048,Roma
2023-05-05,Luz,5486,Polanco
2023-05-05,Luz,10413,Condesa
2023-05-10,Publicidad,3684,Condesa
2023-05-10,Publicidad,4072,Roma
2023-05-10,Publicidad,4091,Polanco
2023-05-12,Agua,1595,Roma
2023-05-12,Agua,2697,Condesa
2023-05-12,Agua,2489,Polanco
2023-05-15,Limpieza,5110,Roma
2023-05-15,Limpieza,3113,Condesa
2023-05-15,Limpieza,4036,Polanco
2023-05-18,Mantenimiento de equipo,7231,Roma
2023-05-18,Mantenimiento de equipo,6733,Polanco
2023-05-18,Mantenimiento de equipo,7160,Condesa
2023-05-20,Mantenimiento de sucursal,3465,Condesa
2023-05-20,Mantenimiento de sucursal,2666,Roma
2023-05-20,Mantenimiento de sucursal,4606,Polanco
2023-05-22,Software administrativo,5781,Condesa
2023-05-22,Software administrativo,4862,Roma
2023-05-22,Software administrativo,5427,Polanco
2023-05-25,Contabilidad,7344,Polanco
2023-05-25,Contabilidad,5513,Condesa
2023-05-25,Contabilidad,8991,Roma
2023-05-26,Papelería,1232,Condesa
2023-05-26,Papelería,917,Roma
2023-05-26,Papelería,1274,Polanco
2023-05-28,Pago de crédito de financiamiento,8975,Roma
2023-05-28,Pago de crédito de financiamiento,12204,Polanco
2023-05-28,Pago de crédito de financiamiento,11096,Condesa
2023-06-01,Renta,65583,Polanco
2023-06-01,Nómina,39072,Polanco
2023-06-01,Renta,57297,Condesa
2023-06-01,Nómina,39897,Condesa
2023-06-01,Nómina,37544,Roma
2023-06-01,Renta,62669,Roma
2023-06-02,Microsoft 365,2200,Polanco
2023-06-02,Microsoft 365,2200,Roma
2023-06-02,Microsoft 365,2200,Condesa
2023-06-03,Internet,1184,Polanco
2023-06-03,Internet,973,Roma
2023-06-03,Internet,1416,Condesa
2023-06-05,Luz,8863,Roma
2023-06-05,Luz,9905,Polanco
2023-06-05,Luz,10634,Condesa
2023-06-10,Publicidad,3699,Roma
2023-06-10,Publicidad,3902,Polanco
2023-06-10,Publicidad,3821,Condesa
2023-06-12,Agua,2272,Polanco
2023-06-12,Agua,3441,Condesa
2023-06-12,Agua,3424,Roma
2023-06-15,Limpieza,5170,Condesa
2023-06-15,Limpieza,3020,Polanco
2023-06-15,Pago de compra de reformers,250000,Roma
2023-06-15,Limpieza,4029,Roma
2023-06-18,Mantenimiento de equipo,9249,Polanco
2023-06-18,Mantenimiento de equipo,8490,Condesa
2023-06-18,Mantenimiento de equipo,2161,Roma
2023-06-20,Mantenimiento de sucursal,5199,Condesa
2023-06-20,Mantenimiento de sucursal,3606,Polanco
2023-06-20,Mantenimiento de sucursal,2742,Roma
2023-06-22,Software administrativo,5493,Condesa
2023-06-22,Software administrativo,4397,Polanco
2023-06-22,Software administrativo,4320,Roma
2023-06-25,Contabilidad,6612,Polanco
2023-06-25,Contabilidad,8089,Condesa
2023-06-25,Contabilidad,7908,Roma
2023-06-26,Papelería,1575,Polanco
2023-06-26,Papelería,1226,Condesa
2023-06-26,Papelería,1324,Roma
2023-06-28,Pago de crédito de financiamiento,9894,Roma
2023-06-28,Pago de crédito de financiamiento,6634,Polanco
2023-06-28,Pago de crédito de financiamiento,11230,Condesa
2023-07-01,Renta,46904,Condesa
2023-07-01,Nómina,41533,Condesa
2023-07-01,Renta,48095,Polanco
2023-07-01,Nómina,41424,Polanco
2023-07-01,Renta,49574,Roma
2023-07-01,Nómina,42953,Roma
2023-07-02,Microsoft 365,2200,Roma
2023-07-02,Microsoft 365,2200,Polanco
2023-07-02,Microsoft 365,2200,Condesa
2023-07-03,Internet,1413,Condesa
2023-07-03,Internet,1381,Roma
2023-07-03,Internet,1273,Polanco
2023-07-05,Luz,10238,Condesa
2023-07-05,Luz,5958,Polanco
2023-07-05,Luz,7157,Roma
2023-07-10,Publicidad,3723,Condesa
2023-07-10,Publicidad,3682,Roma
2023-07-10,Publicidad,3921,Polanco
2023-07-12,Agua,1513,Roma
2023-07-12,Agua,3220,Condesa
2023-07-12,Agua,1780,Polanco
2023-07-15,Limpieza,4621,Polanco
2023-07-15,Limpieza,3543,Condesa
2023-07-15,Limpieza,5286,Roma
2023-07-18,Mantenimiento de equipo,11956,Polanco
2023-07-18,Mantenimiento de equipo,10740,Condesa
2023-07-18,Mantenimiento de equipo,3730,Roma
2023-07-20,Mantenimiento de sucursal,5191,Polanco
2023-07-20,Mantenimiento de sucursal,7297,Condesa
2023-07-20,Mantenimiento de sucursal,6950,Roma
2023-07-22,Software administrativo,5478,Polanco
2023-07-22,Software administrativo,4655,Condesa
2023-07-22,Software administrativo,3506,Roma
2023-07-25,Contabilidad,5790,Roma
2023-07-25,Contabilidad,5019,Condesa
2023-07-25,Contabilidad,8990,Polanco
2023-07-26,Papelería,1693,Roma
2023-07-26,Papelería,1426,Condesa
2023-07-26,Papelería,1703,Polanco
2023-07-28,Pago de crédito de financiamiento,11644,Roma
2023-07-28,Pago de crédito de financiamiento,8358,Condesa
2023-07-28,Pago de crédito de financiamiento,10079,Polanco
2023-08-01,Renta,57145,Condesa
2023-08-01,Renta,69045,Polanco
2023-08-01,Nómina,39823,Polanco
2023-08-01,Nómina,40515,Condesa
2023-08-01,Nómina,37750,Roma
2023-08-01,Renta,62607,Roma
2023-08-02,Microsoft 365,2200,Polanco
2023-08-02,Microsoft 365,2200,Condesa
2023-08-02,Microsoft 365,2200,Roma
2023-08-03,Internet,1174,Polanco
2023-08-03,Internet,1340,Roma
2023-08-03,Internet,971,Condesa
2023-08-05,Luz,6283,Polanco
2023-08-05,Luz,8430,Roma
2023-08-05,Luz,8767,Condesa
2023-08-10,Publicidad,4048,Roma
2023-08-10,Publicidad,4087,Polanco
2023-08-10,Publicidad,3852,Condesa
2023-08-12,Agua,3439,Roma
2023-08-12,Agua,3300,Polanco
2023-08-12,Agua,2035,Condesa
2023-08-15,Limpieza,5110,Polanco
2023-08-15,Limpieza,5289,Roma
2023-08-15,Limpieza,5652,Condesa
2023-08-18,Mantenimiento de equipo,5768,Polanco
2023-08-18,Mantenimiento de equipo,2840,Roma
2023-08-18,Mantenimiento de equipo,11068,Condesa
2023-08-20,Mantenimiento de sucursal,7523,Polanco
2023-08-20,Mantenimiento de sucursal,3049,Condesa
2023-08-20,Mantenimiento de sucursal,4277,Roma
2023-08-22,Software administrativo,3904,Roma
2023-08-22,Software administrativo,4517,Condesa
2023-08-22,Software administrativo,4401,Polanco
2023-08-25,Contabilidad,6750,Roma
2023-08-25,Contabilidad,6385,Condesa
2023-08-25,Contabilidad,5046,Polanco
2023-08-26,Papelería,1202,Roma
2023-08-26,Papelería,1299,Condesa
2023-08-26,Papelería,1228,Polanco
2023-08-28,Pago de crédito de financiamiento,11324,Condesa
2023-08-28,Pago de crédito de financiamiento,12817,Polanco
2023-08-28,Pago de crédito de financiamiento,10373,Roma
2023-09-01,Renta,45925,Condesa
2023-09-01,Nómina,38207,Condesa
2023-09-01,Renta,51727,Roma
2023-09-01,Nómina,40670,Polanco
2023-09-01,Renta,67386,Polanco
2023-09-01,Nómina,42915,Roma
2023-09-02,Microsoft 365,2200,Condesa
2023-09-02,Microsoft 365,2200,Polanco
2023-09-02,Microsoft 365,2200,Roma
2023-09-03,Internet,1211,Polanco
2023-09-03,Internet,1146,Roma
2023-09-03,Internet,1472,Condesa
2023-09-05,Luz,8729,Polanco
2023-09-05,Luz,8833,Condesa
2023-09-05,Luz,9910,Roma
2023-09-10,Publicidad,4382,Polanco
2023-09-10,Publicidad,3893,Roma
2023-09-10,Publicidad,4303,Condesa
2023-09-12,Agua,2057,Polanco
2023-09-12,Agua,3016,Roma
2023-09-12,Agua,2094,Condesa
2023-09-15,Limpieza,5979,Polanco
2023-09-15,Limpieza,5859,Roma
2023-09-15,Limpieza,5886,Condesa
2023-09-18,Mantenimiento de equipo,10019,Polanco
2023-09-18,Mantenimiento de equipo,2494,Condesa
2023-09-18,Mantenimiento de equipo,8506,Roma
2023-09-20,Mantenimiento de sucursal,4152,Polanco
2023-09-20,Mantenimiento de sucursal,3261,Condesa
2023-09-20,Mantenimiento de sucursal,2842,Roma
2023-09-22,Software administrativo,5341,Polanco
2023-09-22,Software administrativo,5637,Roma
2023-09-22,Software administrativo,3844,Condesa
2023-09-25,Contabilidad,6040,Condesa
2023-09-25,Contabilidad,8507,Polanco
2023-09-25,Contabilidad,7676,Roma
2023-09-26,Papelería,1900,Roma
2023-09-26,Papelería,2068,Condesa
2023-09-26,Papelería,1748,Polanco
2023-09-28,Pago de crédito de financiamiento,9776,Roma
2023-09-28,Pago de crédito de financiamiento,12579,Condesa
2023-09-28,Pago de crédito de financiamiento,6403,Polanco
2023-10-01,Nómina,39954,Polanco
2023-10-01,Renta,57741,Polanco
2023-10-01,Nómina,38922,Roma
2023-10-01,Renta,55704,Condesa
2023-10-01,Renta,64931,Roma
2023-10-01,Nómina,41376,Condesa
2023-10-02,Microsoft 365,2200,Condesa
2023-10-02,Microsoft 365,2200,Polanco
2023-10-02,Microsoft 365,2200,Roma
2023-10-03,Internet,1494,Polanco
2023-10-03,Internet,940,Roma
2023-10-03,Internet,1361,Condesa
2023-10-05,Luz,9717,Roma
2023-10-05,Luz,6908,Condesa
2023-10-05,Luz,5791,Polanco
2023-10-10,Publicidad,4338,Polanco
2023-10-10,Publicidad,4386,Roma
2023-10-10,Publicidad,4087,Condesa
2023-10-12,Agua,2562,Polanco
2023-10-12,Agua,2439,Roma
2023-10-12,Agua,1692,Condesa
2023-10-15,Limpieza,3082,Polanco
2023-10-15,Limpieza,3128,Condesa
2023-10-15,Limpieza,5187,Roma
2023-10-18,Mantenimiento de equipo,6806,Polanco
2023-10-18,Mantenimiento de equipo,5286,Condesa
2023-10-18,Mantenimiento de equipo,3111,Roma
2023-10-20,Mantenimiento de sucursal,7441,Roma
2023-10-20,Mantenimiento de sucursal,3397,Polanco
2023-10-20,Mantenimiento de sucursal,4554,Condesa
2023-10-22,Software administrativo,3586,Condesa
2023-10-22,Software administrativo,5535,Polanco
2023-10-22,Software administrativo,4769,Roma
2023-10-25,Contabilidad,6405,Condesa
2023-10-25,Contabilidad,8958,Polanco
2023-10-25,Contabilidad,6493,Roma
2023-10-26,Papelería,1762,Condesa
2023-10-26,Papelería,1597,Roma
2023-10-26,Papelería,1442,Polanco
2023-10-28,Pago de crédito de financiamiento,10689,Polanco
2023-10-28,Pago de crédito de financiamiento,8245,Condesa
2023-10-28,Pago de crédito de financiamiento,9674,Roma
2023-11-01,Renta,47589,Polanco
2023-11-01,Nómina,38149,Polanco
2023-11-01,Renta,54874,Condesa
2023-11-01,Nómina,42087,Condesa
2023-11-01,Nómina,41785,Roma
2023-11-01,Renta,60942,Roma
2023-11-02,Microsoft 365,2200,Polanco
2023-11-02,Microsoft 365,2200,Roma
2023-11-02,Microsoft 365,2200,Condesa
2023-11-03,Internet,1320,Polanco
2023-11-03,Internet,1184,Roma
2023-11-03,Internet,969,Condesa
2023-11-05,Luz,6757,Roma
2023-11-05,Luz,7025,Polanco
2023-11-05,Luz,10549,Condesa
2023-11-10,Publicidad,3625,Roma
2023-11-10,Publicidad,4175,Condesa
2023-11-10,Publicidad,3846,Polanco
2023-11-12,Agua,3252,Roma
2023-11-12,Agua,3451,Condesa
2023-11-12,Agua,1643,Polanco
2023-11-15,Limpieza,5360,Condesa
2023-11-15,Limpieza,5922,Roma
2023-11-15,Limpieza,3486,Polanco
2023-11-18,Mantenimiento de equipo,4646,Roma
2023-11-18,Mantenimiento de equipo,2525,Polanco
2023-11-18,Mantenimiento de equipo,11636,Condesa
2023-11-20,Mantenimiento de sucursal,4660,Polanco
2023-11-20,Mantenimiento de sucursal,3352,Roma
2023-11-20,Mantenimiento de sucursal,3326,Condesa
2023-11-22,Software administrativo,5559,Roma
2023-11-22,Software administrativo,5085,Condesa
2023-11-22,Software administrativo,5703,Polanco
2023-11-25,Contabilidad,6311,Condesa
2023-11-25,Contabilidad,8518,Polanco
2023-11-25,Contabilidad,7704,Roma
2023-11-26,Papelería,1479,Polanco
2023-11-26,Papelería,1836,Condesa
2023-11-26,Papelería,1836,Roma
2023-11-28,Pago de crédito de financiamiento,10802,Polanco
2023-11-28,Pago de crédito de financiamiento,10984,Roma
2023-11-28,Pago de crédito de financiamiento,11052,Condesa
2023-12-01,Nómina,41220,Roma
2023-12-01,Renta,63392,Roma
2023-12-01,Renta,58128,Condesa
2023-12-01,Nómina,37212,Condesa
2023-12-01,Nómina,38014,Polanco
2023-12-01,Renta,48462,Polanco
2023-12-02,Microsoft 365,2200,Roma
2023-12-02,Microsoft 365,2200,Condesa
2023-12-02,Microsoft 365,2200,Polanco
2023-12-03,Internet,1329,Roma
2023-12-03,Internet,1047,Condesa
2023-12-03,Internet,1491,Polanco
2023-12-05,Luz,10519,Polanco
2023-12-05,Luz,8680,Roma
2023-12-05,Luz,9807,Condesa
2023-12-10,Publicidad,4065,Polanco
2023-12-10,Publicidad,4346,Roma
2023-12-10,Publicidad,4272,Condesa
2023-12-12,Agua,2779,Polanco
2023-12-12,Agua,1726,Roma
2023-12-12,Agua,1840,Condesa
2023-12-15,Limpieza,4656,Polanco
2023-12-15,Limpieza,3595,Roma
2023-12-15,Limpieza,5009,Condesa
2023-12-18,Mantenimiento de equipo,2423,Polanco
2023-12-18,Mantenimiento de equipo,11211,Condesa
2023-12-18,Mantenimiento de equipo,8308,Roma
2023-12-20,Mantenimiento de sucursal,7610,Condesa
2023-12-20,Mantenimiento de sucursal,7727,Polanco
2023-12-20,Mantenimiento de sucursal,5184,Roma
2023-12-22,Software administrativo,5454,Roma
2023-12-22,Software administrativo,5687,Condesa
2023-12-22,Software administrativo,5670,Polanco
2023-12-25,Contabilidad,6196,Polanco
2023-12-25,Contabilidad,7843,Roma
2023-12-25,Contabilidad,7084,Condesa
2023-12-26,Papelería,1127,Roma
2023-12-26,Papelería,1551,Condesa
2023-12-26,Papelería,1004,Polanco
2023-12-28,Pago de crédito de financiamiento,11998,Roma
2023-12-28,Pago de crédito de financiamiento,13083,Condesa
2023-12-28,Pago de crédito de financiamiento,9797,Polanco
2024-01-01,Nómina,44348,Condesa
2024-01-01,Renta,57354,Condesa
2024-01-01,Renta,58358,Roma
2024-01-01,Renta,57938,Polanco
2024-01-01,Nómina,48882,Roma
2024-01-01,Nómina,45424,Polanco
2024-01-02,Microsoft 365,2200,Polanco
2024-01-02,Microsoft 365,2200,Roma
2024-01-02,Microsoft 365,2200,Condesa
2024-01-03,Internet,997,Polanco
2024-01-03,Internet,1242,Roma
2024-01-03,Internet,1228,Condesa
2024-01-05,Luz,8013,Roma
2024-01-05,Luz,8018,Condesa
2024-01-05,Luz,7219,Polanco
2024-01-10,Publicidad,6753,Condesa
2024-01-10,Publicidad,6257,Roma
2024-01-10,Publicidad,6999,Polanco
2024-01-12,Agua,1504,Polanco
2024-01-12,Agua,3488,Condesa
2024-01-12,Agua,2960,Roma
2024-01-15,Limpieza,5023,Condesa
2024-01-15,Limpieza,3019,Polanco
2024-01-15,Limpieza,3929,Roma
2024-01-18,Mantenimiento de equipo,3011,Roma
2024-01-18,Mantenimiento de equipo,2357,Condesa
2024-01-18,Mantenimiento de equipo,2968,Polanco
2024-01-20,Mantenimiento de sucursal,6539,Condesa
2024-01-20,Mantenimiento de sucursal,4778,Roma
2024-01-20,Mantenimiento de sucursal,4726,Polanco
2024-01-22,Software administrativo,3648,Polanco
2024-01-22,Software administrativo,4004,Condesa
2024-01-22,Software administrativo,4378,Roma
2024-01-25,Contabilidad,8212,Polanco
2024-01-25,Contabilidad,6866,Roma
2024-01-25,Contabilidad,6782,Condesa
2024-01-26,Papelería,1710,Polanco
2024-01-26,Papelería,1652,Roma
2024-01-26,Papelería,2074,Condesa
2024-01-28,Pago de crédito de financiamiento,8219,Roma
2024-01-28,Pago de crédito de financiamiento,10036,Polanco
2024-01-28,Pago de crédito de financiamiento,8790,Condesa
2024-02-01,Renta,46754,Polanco
2024-02-01,Renta,59146,Condesa
2024-02-01,Nómina,44634,Condesa
2024-02-01,Nómina,47047,Polanco
2024-02-01,Nómina,46694,Roma
2024-02-01,Renta,41479,Roma
2024-02-02,Microsoft 365,2200,Polanco
2024-02-02,Microsoft 365,2200,Roma
2024-02-02,Microsoft 365,2200,Condesa
2024-02-03,Internet,1173,Polanco
2024-02-03,Internet,1052,Roma
2024-02-03,Internet,1320,Condesa
2024-02-05,Luz,6953,Roma
2024-02-05,Luz,7118,Polanco
2024-02-05,Luz,9293,Condesa
2024-02-10,Publicidad,7326,Polanco
2024-02-10,Publicidad,6987,Condesa
2024-02-10,Publicidad,7032,Roma
2024-02-12,Agua,1861,Condesa
2024-02-12,Agua,2956,Polanco
2024-02-12,Agua,1751,Roma
2024-02-15,Limpieza,5301,Condesa
2024-02-15,Limpieza,4988,Polanco
2024-02-15,Limpieza,3208,Roma
2024-02-18,Mantenimiento de equipo,10246,Condesa
2024-02-18,Mantenimiento de equipo,11432,Polanco
2024-02-18,Mantenimiento de equipo,8927,Roma
2024-02-20,Mantenimiento de sucursal,7408,Polanco
2024-02-20,Mantenimiento de sucursal,7920,Condesa
2024-02-20,Mantenimiento de sucursal,5058,Roma
2024-02-22,Software administrativo,4111,Polanco
2024-02-22,Software administrativo,3665,Roma
2024-02-22,Software administrativo,4852,Condesa
2024-02-25,Contabilidad,8068,Condesa
2024-02-25,Contabilidad,8670,Polanco
2024-02-25,Contabilidad,6820,Roma
2024-02-26,Papelería,1567,Polanco
2024-02-26,Papelería,2043,Roma
2024-02-26,Papelería,1425,Condesa
2024-02-28,Pago de crédito de financiamiento,7680,Condesa
2024-02-28,Pago de crédito de financiamiento,7255,Polanco
2024-02-28,Pago de crédito de financiamiento,11311,Roma
2024-03-01,Renta,67404,Condesa
2024-03-01,Nómina,49861,Roma
2024-03-01,Renta,67941,Roma
2024-03-01,Nómina,47113,Condesa
2024-03-01,Nómina,49074,Polanco
2024-03-01,Renta,50571,Polanco
2024-03-02,Microsoft 365,2200,Polanco
2024-03-02,Microsoft 365,2200,Condesa
2024-03-02,Microsoft 365,2200,Roma
2024-03-03,Internet,1391,Roma
2024-03-03,Internet,1473,Condesa
2024-03-03,Internet,1092,Polanco
2024-03-05,Luz,9808,Polanco
2024-03-05,Luz,10649,Roma
2024-03-05,Luz,10752,Condesa
2024-03-10,Publicidad,6993,Polanco
2024-03-10,Publicidad,7304,Condesa
2024-03-10,Publicidad,6259,Roma
2024-03-12,Agua,2866,Condesa
2024-03-12,Agua,1792,Polanco
2024-03-12,Agua,2341,Roma
2024-03-15,Limpieza,5977,Condesa
2024-03-15,Limpieza,4452,Polanco
2024-03-15,Limpieza,4670,Roma
2024-03-18,Mantenimiento de equipo,5987,Condesa
2024-03-18,Mantenimiento de equipo,11668,Polanco
2024-03-18,Mantenimiento de equipo,7270,Roma
2024-03-20,Mantenimiento de sucursal,2951,Polanco
2024-03-20,Mantenimiento de sucursal,7962,Condesa
2024-03-20,Mantenimiento de sucursal,4759,Roma
2024-03-22,Software administrativo,5261,Polanco
2024-03-22,Software administrativo,5483,Condesa
2024-03-22,Software administrativo,5324,Roma
2024-03-25,Contabilidad,8001,Roma
2024-03-25,Contabilidad,8726,Condesa
2024-03-25,Contabilidad,7839,Polanco
2024-03-26,Papelería,1814,Polanco
2024-03-26,Papelería,1550,Roma
2024-03-26,Papelería,937,Condesa
2024-03-28,Pago de crédito de financiamiento,6653,Condesa
2024-03-28,Pago de crédito de financiamiento,11019,Polanco
2024-03-28,Pago de crédito de financiamiento,11556,Roma
2024-04-01,Nómina,44319,Roma
2024-04-01,Renta,58292,Roma
2024-04-01,Nómina,45439,Condesa
2024-04-01,Nómina,48920,Polanco
2024-04-01,Renta,53003,Polanco
2024-04-01,Renta,42007,Condesa
2024-04-02,Microsoft 365,2200,Condesa
2024-04-02,Microsoft 365,2200,Roma
2024-04-02,Microsoft 365,2200,Polanco
2024-04-03,Internet,1231,Roma
2024-04-03,Internet,1061,Condesa
2024-04-03,Internet,1406,Polanco
